Site,Date,Expected CPM,Actual CPM,Abnormality,Percentage Drop/Growth
cityweekly,2017-05-26 00:00:00,3.6947400989626793,0.3647776468805254,low,90.12710942826699
cityweekly,2017-05-27 00:00:00,3.635659251318234,0.24687163840330353,low,93.20971462565443
cityweekly,2017-05-28 00:00:00,3.5632351736585264,0.3435852657803468,low,90.35749118328407
cityweekly,2017-05-29 00:00:00,3.4787765393251617,0.2542463124176205,low,92.69150203976767
cityweekly,2017-05-30 00:00:00,3.3837770824282147,0.37950769885192814,low,88.7844946754119
cityweekly,2017-05-31 00:00:00,3.2798880251267013,0.2527703715585893,low,92.29332313718774
cornellsun,2017-04-15 00:00:00,1.055051067302664,2.685264028909642,high,154.51507629623734
cornellsun,2017-04-16 00:00:00,1.0091369548110456,2.0013204210790554,high,98.32000121864428
cornellsun,2017-05-13 00:00:00,2.558348049869112,0.5446880970833333,low,78.7093825208341
cornellsun,2017-05-17 00:00:00,2.512388754548975,0.5438742138461539,low,78.35230663003861
dailythunder,2017-05-27 00:00:00,9.290485298123773,2.1256464359848484,low,77.12017867985728
dailythunder,2017-05-29 00:00:00,8.891420950319247,1.7050668112600538,low,80.82346094300222
dotapicker,2017-04-01 00:00:00,0.31869017229965635,0.5895452819935444,high,84.9901042568736
dotapicker,2017-04-12 00:00:00,0.12597933550747276,0.3770091079436804,high,199.2626579787899
dotapicker,2017-04-13 00:00:00,0.1127303622510846,0.4171307421143127,high,270.02519444161493
dotapicker,2017-04-14 00:00:00,0.10059951557158757,0.5209977099628467,high,417.8928616133343
dotapicker,2017-04-15 00:00:00,0.08962214777906843,0.8490713379865553,high,847.3900804962174
dotapicker,2017-04-16 00:00:00,0.07981290007888407,0.6569184157474988,high,723.072980806643
dotapicker,2017-04-17 00:00:00,0.0711658872043763,0.46554322465654185,high,554.1662627202005
dotapicker,2017-04-18 00:00:00,0.0636553791189288,0.2810497672386953,high,341.5177022410056
dotapicker,2017-04-19 00:00:00,0.05723694174790574,0.3480276893007999,high,508.04731817023406
dotapicker,2017-04-20 00:00:00,0.05184899388378847,0.3067307481330972,high,491.58476405653477
dotapicker,2017-04-21 00:00:00,0.04741473261674131,0.23241601524604288,high,390.17679193656545
dotapicker,2017-04-22 00:00:00,0.04384437513964767,0.3707393996293848,high,745.5803018028005
dotapicker,2017-04-24 00:00:00,0.03888655383660593,0.2559225118592892,high,558.1259757154826
dotapicker,2017-04-25 00:00:00,0.03727808525500487,0.2503657350208017,high,571.6164022592556
dotapicker,2017-04-26 00:00:00,0.03609726985271319,0.2511049537674294,high,595.6341983535232
dotapicker,2017-04-27 00:00:00,0.035230035128901174,0.32030594803512585,high,809.1842993149925
dotapicker,2017-04-28 00:00:00,0.03456609850322226,0.3368796848739257,high,874.5956282642711
dotapicker,2017-04-29 00:00:00,0.03400173148874129,0.3496057849106277,high,928.199946306822
dotapicker,2017-04-30 00:00:00,0.03344235218238335,0.34631170660640215,high,935.5482913334997
hoosierhuddle,2017-04-08 00:00:00,1.6013211837998573,0.07170617283801299,low,95.52206180974527
hoosierhuddle,2017-04-19 00:00:00,1.6563620387469182,0.554515334223057,low,66.52209352476089
hoosierhuddle,2017-04-24 00:00:00,1.5390583345825186,0.4394461574862531,low,71.44707594170195
hoosierhuddle,2017-04-25 00:00:00,1.5188674085854863,0.2915024301882952,low,80.80790801484312
hoosierhuddle,2017-04-26 00:00:00,1.5021049960500714,0.3029683168512056,low,79.83041680522402
hoosierhuddle,2017-05-01 00:00:00,1.4991569696078744,0.34206165,low,77.1830664210252
hoosierhuddle,2017-05-02 00:00:00,1.5191866019614024,0.4303817101904761,low,71.67025369794496
hoosierhuddle,2017-05-03 00:00:00,1.5469676407450483,0.4377799715544041,low,71.70076735777347
hoosierhuddle,2017-05-04 00:00:00,1.5825796796478506,0.33794315911764705,low,78.6460572277255
hoosierhuddle,2017-05-05 00:00:00,1.625943379614717,0.3914291453917051,low,75.92602852600821
hoosierhuddle,2017-05-08 00:00:00,1.7993736013001551,0.43244322342857144,low,75.96701301407862
